squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
21997,0.201488095238095,0.386309523809524,0.40734126984127,0.00486111111111111,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,5925,3943,4
21022,0.211944444444444,0.395763888888889,0.385833333333333,0.00645833333333333,1,0,2015,14-Sep-2015,23-Sep-2015 23:59:00,14399,8751,5792,4
20198,0.149007936507937,0.278571428571429,0.439781746031746,0.132638888888889,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,4310,4145,4
20873,0.330929487179487,0.36207264957265,0.306303418803419,0.000694444444444444,1,0,2015,16-Sep-2015,28-Sep-2015 23:59:00,18719,12973,6791,4
20945,0.261111111111111,0.427314814814815,0.311574074074074,0,0,0,2015,15-Sep-2015,23-Sep-2015 23:59:00,12959,8922,5538,4
19601,0.188825757575758,0.385542929292929,0.417487373737374,0.00814393939393939,0,0,2015,15-Sep-2015,25-Sep-2015 23:59:00,15839,9098,6236,4
20155,0.170428240740741,0.345543981481481,0.473611111111111,0.0104166666666667,0,0,2015,17-Sep-2015,28-Sep-2015 23:59:00,17279,8916,6151,4
20729,0.200173611111111,0.3390625,0.458159722222222,0.00260416666666667,0,0,2015,26-Sep-2015,29-Sep-2015 23:59:00,5759,3106,1968,4
19611,0.119965277777778,0.343055555555556,0.493402777777778,0.0435763888888889,1,0,2015,26-Sep-2015,29-Sep-2015 23:59:00,5759,2667,2227,4
19583,0.175,0.334490740740741,0.46087962962963,0.0296296296296296,1,0,2015,27-Sep-2015,29-Sep-2015 23:59:00,4319,2201,1573,4
19565,0.275785024154589,0.435597826086957,0.277898550724638,0.0107185990338164,0,1,2014,2014-02-16 00:00:00,2014-03-10 23:59:00,33059,23561,14782,2
12678,0.313296568627451,0.432209967320261,0.249509803921569,0.00498366013071895,0,1,2014,2014-02-09 00:00:00,2014-03-14 23:59:00,48899,36500,21405,2
12007,0.311249119983908,0.429825002514332,0.242859297998592,0.0160665795031681,0,1,2014,2014-02-14 00:00:00,2014-03-13 14:51:00,39711,29474,17734,2
13048,0.291211685823755,0.438912835249042,0.26985153256705,2.39463601532567e-05,0,1,2014,2014-02-14 00:00:00,2014-03-14 23:59:00,41699,30490,18330,2
12705,0.318617724867725,0.410019841269841,0.254298941798942,0.0170634920634921,0,1,2014,2014-02-11 00:00:00,2014-03-03 23:59:00,30239,22034,12915,2
12825,0.369027777777778,0.390416666666667,0.240555555555556,0,0,1,2014,2014-02-17 00:00:00,2014-02-21 23:59:00,7199,5468,2811,2
19654,0.293725198412698,0.420287698412698,0.278249007936508,0.00773809523809524,0,1,2014,2014-02-17 00:00:00,2014-03-16 23:59:00,40259,28789,17258,2
19694,0.367534722222222,0.424826388888889,0.189409722222222,0.0182291666666667,0,1,2014,2014-02-10 00:00:00,2014-02-13 23:59:00,5759,4564,2552,2
12364,0.309375,0.421064814814815,0.238888888888889,0.0306712962962963,0,1,2014,2014-02-09 00:00:00,2014-02-26 23:59:00,25919,18933,11709,2
11983,0.382638888888889,0.430555555555556,0.184722222222222,0.00208333333333333,0,1,2014,2014-02-16 00:00:00,2014-02-16 23:59:00,1439,1171,623,2
19884,0.269497863247863,0.395174501424501,0.323700142450142,0.0116274928774929,0,1,2014,2014-02-18 00:00:00,2014-03-28 23:59:00,56099,37328,22846,2
12576,0.322843567251462,0.437463450292398,0.23859649122807,0.00109649122807018,0,1,2014,2014-02-14 00:00:00,2014-03-04 23:59:00,27359,20802,11999,2
13466,0.361545138888889,0.440277777777778,0.198177083333333,0,0,1,2014,2014-02-15 00:00:00,2014-02-22 23:59:00,11519,9237,5072,2
19748,0.343315972222222,0.466145833333333,0.190538194444444,0,0,1,2014,2014-02-17 00:00:00,2014-02-24 23:59:00,11519,9325,5370,2
12209,0.319128787878788,0.445707070707071,0.235164141414141,0,0,1,2014,2014-02-14 00:00:00,2014-02-24 23:59:00,15839,12115,7060,2
13179,0.310709064327485,0.433333333333333,0.232383040935673,0.0235745614035088,0,1,2014,2014-02-11 00:00:00,2014-03-01 23:59:00,27359,20357,12501,2
21389,0.305381944444444,0.425347222222222,0.269270833333333,0,0,0,2016,26-Feb-2016,29-Feb-2016 23:59:00,5759,4209,2450,2
20729,0.290579710144928,0.318055555555556,0.304015700483092,0.0873490338164251,0,0,2016,26-Feb-2016,19-Mar-2016 23:59:00,33059,20158,13427,2
